id,description,swimming_school_id,instructor_id,date_start,date_end,price,times_per_week,max_num_of_participants,num_of_classes,is_multisport_accepted,is_enrollable
1,"Advanced swimming course focused on long-term performance optimization, including stroke refinement and endurance development.",8,655,2017-10-12,2017-11-02,300,1,10,3,True,True
2,"Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",44,105,2013-12-28,2014-01-25,400,1,10,4,True,True
3,"Beginner course introducing essential water safety, floating, and basic swimming movements.",33,239,2024-09-23,2024-10-07,200,1,20,2,True,True
4,Adaptive swimming course supporting mobility and confidence through personalized instruction.,29,226,2003-11-05,2003-11-12,300,3,20,3,True,True
5,Mixed-level course offering structured development tailored to different skill levels.,10,285,2018-11-20,2018-12-11,600,2,10,6,True,True
6,Children’s course focused on building water confidence and fundamental swimming abilities.,23,368,2025-10-20,2025-10-27,300,3,15,3,True,True
7,"Senior swimming course promoting mobility, flexibility, and cardiovascular health.",25,997,2016-09-10,2016-10-01,300,1,20,3,True,True
8,"Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",3,72,1996-07-05,1996-07-26,600,2,10,6,True,True
9,"Water fitness course aimed at improving strength, flexibility, and endurance.",18,390,2008-01-20,2008-02-10,1200,4,15,12,True,True
10,Individual swimming course tailored to personal goals and learning pace.,18,687,2024-09-19,2024-10-03,200,1,20,2,True,True
11,"Course focused on rescue techniques, prevention, and water safety awareness.",25,474,2015-01-07,2015-01-21,600,3,10,6,True,True
12,Course preparing participants for safe swimming in natural environments.,21,33,2017-05-19,2017-06-09,1200,4,10,12,True,True
13,Course designed for relaxed swimming and maintaining general fitness.,46,581,2024-04-02,2024-04-16,600,3,15,6,True,True
14,Course focused on preparing swimmers for competitions and performance tracking.,42,937,2018-10-26,2018-11-09,800,4,10,8,True,True
15,Course dedicated to refining stroke mechanics and movement efficiency.,35,575,2020-02-16,2020-03-15,1200,3,15,12,True,True
16,Course aimed at increasing stamina and long-distance swimming capacity.,33,142,1997-09-09,1997-09-16,400,4,10,4,True,True
17,"Course focused on speed, explosive starts, and short-distance performance.",44,164,2021-11-28,2021-12-05,400,4,15,4,True,True
18,Course designed for families to learn and practice swimming together.,34,480,2018-11-24,2018-12-01,300,3,20,3,True,True
19,Course supporting rehabilitation and recovery through aquatic exercises.,35,907,2007-03-20,2007-04-10,900,3,15,9,True,True
20,Advanced-level course focusing on precision and efficiency in swimming techniques.,1,465,2021-01-15,2021-01-29,600,3,10,6,True,True
21,"Intermediate program enhancing rhythm, coordination, and breathing patterns.",41,306,2024-05-07,2024-05-21,400,2,10,4,True,True
22,Introductory course focused on building confidence and comfort in water.,34,798,2014-08-07,2014-08-28,300,1,10,3,True,True
23,Inclusive course tailored to individual abilities and progression needs.,20,372,2013-09-23,2013-09-30,200,2,20,2,True,True
24,Course offering flexible progression for diverse skill levels in one group.,47,88,2024-01-02,2024-01-09,400,4,10,4,True,True
25,Children’s program focused on gradual skill improvement and safety.,36,487,2023-12-26,2024-01-16,600,2,20,6,True,True
26,Course designed to maintain activity levels and overall health in seniors.,35,217,2020-02-10,2020-03-02,600,2,20,6,True,True
27,Course aimed at improving stamina and race preparation for triathletes.,34,449,2009-03-14,2009-03-21,400,4,10,4,True,True
28,Fitness course focused on resistance training and muscle development in water.,38,22,2009-07-16,2009-07-30,400,2,10,4,True,True
29,One-on-one training program designed for rapid skill improvement.,15,61,2021-01-19,2021-01-26,100,1,10,1,True,True
30,Course covering practical rescue scenarios and emergency response techniques.,43,286,2025-06-08,2025-06-22,800,4,10,8,True,True
31,Course building confidence and adaptability in outdoor swimming conditions.,37,904,2025-08-16,2025-08-30,800,4,15,8,True,True
32,"Course focused on enjoyment, relaxation, and light physical activity.",7,195,2009-09-17,2009-10-15,400,1,15,4,True,True
33,Structured training program preparing swimmers for competitive events.,47,885,2013-06-01,2013-06-08,100,1,15,1,True,True
34,Course focusing on detailed improvement of all swimming strokes.,7,820,2002-05-09,2002-05-23,400,2,20,4,True,True
35,Course designed to enhance long-distance swimming capabilities.,12,433,2015-06-18,2015-07-16,1200,3,10,12,True,True
36,Course aimed at improving sprint performance and reaction time.,36,883,2024-04-10,2024-04-17,100,1,10,1,True,True
37,Course encouraging family participation in safe aquatic exercises.,49,949,2013-07-08,2013-07-22,400,2,15,4,True,True
38,Course supporting physical recovery and therapeutic movement in water.,26,886,2022-04-15,2022-04-29,200,1,10,2,True,True
39,High-level course designed for experienced swimmers seeking peak performance.,30,272,2021-04-23,2021-05-21,1200,3,20,12,True,True
40,Course bridging intermediate and advanced skills with structured progression.,13,159,2017-01-20,2017-02-03,600,3,20,6,True,True
41,Entry-level course introducing fundamental swimming concepts step by step.,48,63,2006-09-24,2006-10-01,300,3,20,3,True,True
42,Course focused on accessibility and individualized support in aquatic environments.,34,942,2025-03-10,2025-03-17,200,2,20,2,True,True
43,Group course designed for participants with varied experience levels.,5,191,2023-01-20,2023-02-03,200,1,10,2,True,True
44,Children’s development program focused on technique and confidence.,16,584,2018-02-15,2018-02-22,100,1,20,1,True,True
45,Course aimed at improving balance and coordination in seniors.,21,536,2024-02-24,2024-03-09,600,3,20,6,True,True
46,Course focused on refining freestyle technique for triathlon performance.,26,272,2023-03-01,2023-03-22,600,2,15,6,True,True
47,Course combining conditioning exercises and swimming drills.,5,959,2024-04-10,2024-05-08,400,1,20,4,True,True
48,Advanced one-on-one coaching focused on performance optimization.,35,76,2008-02-26,2008-03-18,600,2,15,6,True,True
49,Comprehensive course covering water safety and preventive techniques.,16,901,2006-05-25,2006-06-15,900,3,15,9,True,True
50,Advanced course focusing on navigation and endurance in natural water settings.,20,721,2023-03-16,2023-04-06,300,1,10,3,True,True
